Population_group,Population_Categorisation,population,TDS_FC_Code,TDS_FC_label,NumRespondents,PercentConsumers,Mean_grams_per_person_per_day,Mean_flag,Mean_SE,Mean_LCL,Mean_UCL,Mean_CV,P50,P50_flag,P50_SE,P50_LCL,P50_UCL,P50_CV,P90,P90_flag,P90_SE,P90_LCL,P90_UCL,P90_CV,P95,P95_flag,P95_SE,P95_LCL,P95_UCL,P95_CV
All people,Standard DRI age groups,1-3 yr,HH20,kiwi fruit,1288,5.1,3.74,E,1.2,1.38,6.09,32.09,0,,282.91,0,555.85,0,0,,49.85,0,97.95,0,,F,,,,123.2
All people,Standard DRI age groups,1-3 yr,HH21,apricot,1288,0.2,,F,,,,,,F,,,,,,F,,,,,,F,,,,
All people,Standard DRI age groups,1-3 yr,HH22,fruit drinks (cocktails),1288,10.9,28.44,E,5.99,16.67,40.21,21.06,0,,159.99,0,314.34,0,,F,,,,101.84,229.82,,34.53,161.98,297.66,15.02
All people,Standard DRI age groups,1-3 yr,II01,cooking fats & salad oils,1288,25.4,1.26,,0.2,0.88,1.65,15.87,0,,0.65,0,1.28,0,3.29,E,0.56,2.19,4.39,17.02,6.44,E,1.85,2.8,10.07,28.73
All people,Standard DRI age groups,1-3 yr,II02,margarine,1288,20.6,1.24,,0.17,0.9,1.59,13.71,0,,1.71,0,3.35,0,4.73,,0.63,3.49,5.97,13.32,7.62,,0.95,5.75,9.49,12.47
All people,Standard DRI age groups,1-3 yr,II04,mayonnaise,1288,3.8,0.28,E,0.09,0.11,0.46,32.14,0,,66.97,0,131.57,0,0,,10.06,0,19.77,0,0,,2.76,0,5.42,0
All people,Standard DRI age groups,1-3 yr,II07,salad dressing,1288,6.1,0.62,E,0.15,0.33,0.91,24.19,0,,47.62,0,93.56,0,0,,2.01,0,3.96,0,,F,,,,42.95
All people,Standard DRI age groups,1-3 yr,JJ01,chocolate bars,1288,13,2.27,,0.36,1.57,2.98,15.86,0,,6.45,0,12.68,0,,F,,,,42.79,12.74,E,3.14,6.57,18.91,24.65
All people,Standard DRI age groups,1-3 yr,JJ03,gelatin dessert,1288,0.8,,F,,,,,,F,,,,,,F,,,,,,F,,,,
All people,Standard DRI age groups,1-3 yr,JJ04,honey_bottled,1288,3.8,0.31,E,0.08,0.15,0.46,25.81,0,,47.34,0,93.01,0,0,,5.93,0,11.65,0,0,,2.17,0,4.26,0
All people,Standard DRI age groups,1-3 yr,JJ05,jams,1288,8.2,1.33,E,0.31,0.71,1.95,23.31,0,,12.79,0,25.12,0,0,,1.6,0,3.15,0,,F,,,,34.86
All people,Standard DRI age groups,1-3 yr,JJ07,peanut butter,1288,15.6,2.23,,0.34,1.56,2.91,15.25,0,,4.47,0,8.78,0,10.39,E,2.67,5.15,15.64,25.7,15.84,E,2.75,10.44,21.23,17.36
All people,Standard DRI age groups,1-3 yr,JJ08,puddings,1288,3,2.79,E,0.85,1.12,4.45,30.47,0,,489.31,0,961.35,0,0,,93.39,0,183.49,0,0,,36.13,0,70.99,0
All people,Standard DRI age groups,1-3 yr,JJ09,sugar,1288,14.9,0.65,,0.09,0.46,0.83,13.85,0,,3.17,0,6.24,0,,F,,,,33.58,4.14,E,0.89,2.39,5.89,21.5
All people,Standard DRI age groups,1-3 yr,JJ10,syrup,1288,7.2,1.56,E,0.34,0.89,2.24,21.79,0,,45.18,0,88.76,0,0,,5.62,0,11.04,0,15.51,E,4.66,6.36,24.67,30.05
All people,Standard DRI age groups,1-3 yr,JJ11,seeds_shelled,1288,2.3,,F,,,,42.22,0,,85.65,0,168.28,0,0,,36.78,0,72.26,0,0,,16.32,0,32.06,0
All people,Standard DRI age groups,1-3 yr,JJ12,nuts,1288,7.6,1.62,E,0.46,0.72,2.53,28.4,0,,36.47,0,71.65,0,0,,2.62,0,5.15,0,,F,,,,68.33
All people,Standard DRI age groups,1-3 yr,JJ13,chewing gum,1288,0.1,,F,,,,,,F,,,,,,F,,,,,,F,,,,
All people,Standard DRI age groups,1-3 yr,JJ15,candy,1288,12.3,2.52,E,0.48,1.58,3.47,19.05,0,,10.19,0,20.03,0,,F,,,,40.79,14.82,E,2.92,9.09,20.55,19.7
All people,Standard DRI age groups,1-3 yr,KK01,alcoholic drinks_beer,1288,0.1,,F,,,,,,F,,,,,,F,,,,,,F,,,,
All people,Standard DRI age groups,1-3 yr,KK02,alcoholic drinks_wine,1288,0.4,,F,,,,,,F,,,,,,F,,,,,,F,,,,
All people,Standard DRI age groups,1-3 yr,KK04,coffee,1288,0.1,,F,,,,,,F,,,,,,F,,,,,,F,,,,
All people,Standard DRI age groups,1-3 yr,KK05,soft drinks,1288,2.8,2.91,E,0.77,1.39,4.42,26.46,0,,1860.41,0,3655.18,0,0,,287.97,0,565.78,0,0,,55.32,0,108.68,0
All people,Standard DRI age groups,1-3 yr,KK06,tea,1288,1.8,3.82,E,1.07,1.71,5.93,28.01,0,,1597.49,0,3138.62,0,0,,395.93,0,777.88,0,0,,175.29,0,344.39,0
